,respondent_id,h1n1_vaccine,seasonal_vaccine
0,26707,0.15331031387050947,0.309403080145518
1,26708,0.033359051421284674,0.061011149510741235
2,26709,0.17281415154536567,0.5450005324681599
3,26710,0.6001550873120626,0.6053171171744665
4,26711,0.2667432674765587,0.5856605978806814
5,26712,0.8699132943153381,0.9568332946300506
6,26713,0.28259181161721547,0.5014855412642161
7,26714,0.15280212104320526,0.24459837307532628
8,26715,0.042736922676364586,0.17319903910160064
9,26716,0.2596716046333313,0.8501348181565602
10,26717,0.04809917489687602,0.374567550222079
11,26718,0.44891788641611735,0.5728296232223511
12,26719,0.13366571774085362,0.8333839694658915
13,26720,0.021513971481472254,0.1668478529403607
14,26721,0.20170909787217775,0.4462314385175705
15,26722,0.21595531145731608,0.20268106838067373
16,26723,0.5760958588123322,0.8459283022085826
17,26724,0.10115248998006185,0.7853596067428589
18,26725,0.09782219282040994,0.1847133698562781
19,26726,0.0666572982693712,0.06980149209499359
20,26727,0.4777784762779872,0.768150516351064
21,26728,0.3597209680080414,0.5489500121275583
22,26729,0.10508321623007456,0.6900723874568939
23,26730,0.033771227399508164,0.155283503284057
24,26731,0.07967230625450611,0.29701469868421554
25,26732,0.1582162627329429,0.18501732807606458
26,26733,0.9025735060373943,0.9196719380219778
27,26734,0.6288840111096701,0.2568314160903295
28,26735,0.11080713453392188,0.2804740254084269
29,26736,0.07238825336098671,0.14634960435330868
30,26737,0.08557420752942563,0.1250195685525735
31,26738,0.7822428532441457,0.6783665263652802
32,26739,0.16220155547062556,0.2443127210934957
33,26740,0.15034435289601486,0.14542192444205285
34,26741,0.0757855368902286,0.6881698620319366
35,26742,0.11271184335152308,0.4964397434393565
36,26743,0.0895096239199241,0.24446100344260532
37,26744,0.03696052672651907,0.6405374948183695
38,26745,0.11079260837286711,0.6871797013282777
39,26746,0.3943689664204915,0.5624150943756103
40,26747,0.050523372491200765,0.19062667608261108
41,26748,0.08883748600880305,0.13460985373705625
42,26749,0.2187170042594274,0.47714512983957924
43,26750,0.31847284555435185,0.6034499327341716
44,26751,0.5762953416506449,0.8582999177773794
